#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
d5bc61f90f231d15cad051d8195ce9e5	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
97c33ff568d9ee121de1a11b8c613fb1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 BD7-8	 BD7-8	 BD7-8	 uncultured_bacterium
575df2164ea8bfc7535ea0578d2232f2	Bacteria	 	 	 	 	 	 
25d0cfef7802d4f8d6203e3262841439	Bacteria	 Proteobacteria	 	 	 	 	 
757b734a3c4d17d535f54c9bc592ac5d	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_Flavobacterium
4efde871482c541d36411379cf38db42	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
e5ff130cbe8d769ed12b206e93dbbbd5	Bacteria	 Verrucomicrobiota	 Lentisphaeria	 Lentisphaerales	 Lentisphaeraceae	 Lentisphaera	 
843a365d9fc1fc00c72e713b43c8d9fd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 S25-593	 S25-593	 
a1e99537bf88c0e938d0c26f44620989	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Shewanellaceae	 Psychrobium	 uncultured_bacterium
0020b18ea22f14705e4762b3ae7262c4	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Microtrichales	 Microtrichaceae	 Sva0996_marine_group	 marine_metagenome
33518e48b174ac428cb7be1a216c6c6e	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	 
78f658da8deecfe67cbcf8c0d5f744a8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Methylophilaceae	 OM43_clade	 
897b660ab8c156bfaf5a25747a5cf359	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 uncultured	 marine_metagenome
07bb8d830f4ebe9f493519d9fde38234	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 	 
ae9844b5c9322cd3b44c33f85ef40d5f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Hyphomonadaceae	 Hellea	 
c93904ece365fd63a38dd9ddb24034e0	Bacteria	 Desulfobacterota	 Desulfuromonadia	 PB19	 PB19	 PB19	 uncultured_delta
21703465b5552a42dbb5a6bb337029e5	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 
8884ba5a91f94c60f526b5c7d97dc91a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 HOC36	 HOC36	 HOC36	 Candidatus_Thioglobus
35c4e9ce5fbba407bf94a48774e48733	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bacteriovoracales	 Bacteriovoracaceae	 Peredibacter	 
29995a66d004c8b4daad6238d1915b87	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Collimonas	 uncultured_bacterium
674933a0d44342a0647f7a5b4591f26e	Bacteria	 Bdellovibrionota	 Oligoflexia	 Oligoflexales	 uncultured	 uncultured	 uncultured_marine
6775d4498c6c059845b4da306390eeae	Bacteria	 Verrucomicrobiota	 Chlamydiae	 Chlamydiales	 Parachlamydiaceae	 Neochlamydia	 metagenome
7f09519cf41b96abc80a06400fe6674b	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 uncultured	 uncultured	 
2b3f21e1ea3efb089b67ae1dc395f534	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 
376cf916af9475f2c4171d1ea9001f8c	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Actinomarinales	 Actinomarinaceae	 Candidatus_Actinomarina	 
a2288b195be48586c25e6f7cb8fe6170	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
c573a1fd1c2246a4bfd9dcb459752433	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Ga0077536	 Ga0077536	 Ga0077536	 uncultured_bacterium
87b99485a64ee85a88ddfd28521f0a36	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 metagenome
d699978cd42a2459239b12d3145bb4c2	Bacteria	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 uncultured_deep-sea
1c7ece7c12aa3eb245eca5b606b6a325	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 	 
1413e31f01c2e8cf3dec0fef9c6c6d08	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Cellvibrionaceae	 Aestuariicella	 uncultured_bacterium
60f9d2a91e1b1aebb3bd08385ca8a210	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
b5f8d75fe411f392eebf39a994b68ab2	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 	 	 
e21056ff49fb9ec27be6c81a9aeaeed4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 
a03eae974517ea1a630ad237603546a1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 uncultured_bacterium
f30b546a68a43e74f0e8552558ac5288	Bacteria	 Verrucomicrobiota	 Lentisphaeria	 Lentisphaerales	 Lentisphaeraceae	 Lentisphaera	 
56e43d97030d8842c67e7f4d4d9ce3f1	Bacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 uncultured_bacterium
5e0710dd98730767b70d3c53bbc6b283	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 
3a2d878641e0366fe8e73bf1bbe7e4a0	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Roseibacillus	 uncultured_marine
6e45e0e89547e67313b16e31f14e39a6	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Brumimicrobium	 uncultured_Bacteroidetes
8df20522aa92813384adafdd96128fbc	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_bacterium
91a15231c4fd6c97b2e216b4bd023e6b	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Nitrosopumilaceae	 
a9876b18d74db383b52334825b6fd3c0	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 uncultured	 uncultured	 
daa40ae9445e27c74dc4dfb599854cad	Bacteria	 	 	 	 	 	 
1ea3cbbb63418c3fef70cf27ab211ae9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Defluviicoccales	 uncultured	 uncultured	 
4c0ea27e6f5ea85a9b498815a7de0fa2	Bacteria	 Bdellovibrionota	 Oligoflexia	 Oligoflexales	 uncultured	 uncultured	 uncultured_marine
70580c5fdb0e12b99fd4ad77b8f9e3ab	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Cryomorphaceae	 uncultured	 metagenome
4df8c6b9622c8bcaf59e7ef49370fc5f	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 uncultured_marine
7ec8be180094b588aa83a84c0d44387e	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Formosa	 
9fa703f8c89ff4c7cee64381f4991871	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Defluviicoccales	 uncultured	 uncultured	 uncultured_Pelagibacterales
fd26718c5de87d4de0b236bf03ebfbc8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 uncultured	 
4ade24bdc244ebbdecbbcb2a1ce4551a	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae	 	 
bc5593081c603faf9990d8f73ccce91d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Cellvibrionaceae	 uncultured	 uncultured_organism
5ac48f1cd4727a11d81457fc680d0aef	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 
7d78ed99b08bd1723065fdd795d17e9c	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 
3faeada37f4923c2b909d33003f9643b	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine
f1df3414d84f99ece51b1b4ac8e4849e	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 marine_metagenome
6973126933d44e100f256c7525041db9	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_proteobacterium
87a40aa40fe0bb69598b6b59841e369a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Nitrosococcales	 Nitrosococcaceae	 Cm1-21	 uncultured_gamma
d663d088a943627b787c656e58c833e4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Coxiellales	 Coxiellaceae	 Coxiella	 
4ae83d74ad719968841b2be6d950de3f	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_Flavobacteriia
709bd24cec0e41d061a84438bba54571	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Cryomorphaceae	 uncultured	 marine_metagenome
6fb33b8e46d65bc512cc109ced8963c3	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiohalorhabdales	 Thiohalorhabdaceae	 uncultured	 uncultured_bacterium
f9dee6887f8b38374ef6e82bbec7f9c3	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Fluviicola	 uncultured_bacterium
1a6efe89b9cdcbf70eb4f810ed71a09d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 uncultured_marine
a80f442ca00e13f19f334659de400975	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine
824b9c5e131ccef5ab3286cfde31640c	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 
bfadba67663637f3d232cb316ca79d30	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 
f2da704b45b81eae6a7d1438b7cb4101	Bacteria	 Patescibacteria	 Gracilibacteria	 JGI_0000069-P22	 JGI_0000069-P22	 JGI_0000069-P22	 
614f4c819bc71ecb406c7b7352ccda53	Bacteria	 Firmicutes	 Clostridia	 	 	 	 
0493afc36320f452143acc827959d11e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
f857094b80ff0dbc17e18155a85d0fb7	Bacteria	 Chloroflexi	 Dehalococcoidia	 SAR202_clade	 SAR202_clade	 SAR202_clade	 marine_metagenome
27b7cbfd478578ae99ace7d2c29b3684	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Polaribacter	 
88bac3e95d07fb514897f8551c6ead8e	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_delta
381543018d32125591d6c4d5fcfa5450	Bacteria	 Planctomycetota	 Planctomycetes	 Planctomycetales	 Rubinisphaeraceae	 uncultured	 uncultured_Planctomycetaceae
1f25302398a08fa973d6ebae46465f9e	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Microtrichales	 Microtrichaceae	 Sva0996_marine_group	 uncultured_bacterium
afe88da0a25137f1fa6a393ec6dccc0a	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopumilus	 
2212286395711001c869cf4d3b6de2a7	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
161aaebcc3675176950dfd4d4c226eef	Bacteria	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 uncultured_organism
b15193fce14759d1c06728933e044af6	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 
08643a622932fad846d24f12b7b8842a	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 uncultured_planctomycete
07c1379b824f23df9b591e393e430297	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Defluviicoccales	 uncultured	 uncultured	 
608d8dd1cdcb481482bf021023b4f9d2	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_Alphaproteobacteria
9d1a2d546628130e194e45a86d321cda	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Candidatus_Nitrosopelagicus	 uncultured_archaeon
e18eab23732a54d8979d00ae83a1738f	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 hydrothermal_vent
8e3c6ecd2883e2cd343f9d035e9e4fef	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Puniceicoccaceae	 A714019	 uncultured_Verrucomicrobia
edd216ff26f28e9687d7705e7b4c2d2c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Shimia	 
c384c65be1abb9408cb758dc55f55ebc	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae	 Arcobacteraceae	 uncultured_bacterium
a41c9a915c15a940fa6669382da25619	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 uncultured	 uncultured_Alphaproteobacteria
03aa1d801aa84ce76d1574a8ab54627b	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Puniceicoccaceae	 MB11C04_marine_group	 uncultured_Verrucomicrobia
e921e3b77c19cbd1721e99f7efa7ae6f	Bacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 Margulisbacteria	 uncultured_bacterium
cda9e3856a0c477000068d3664024eca	Bacteria	 Nitrospinota	 Nitrospinia	 Nitrospinales	 Nitrospinaceae	 Nitrospina	 
e3cad6f59dcc14a832c19f9574578188	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Coxiellales	 Coxiellaceae	 Coxiella	 uncultured_gamma
8551b8e5ecef904c31f4c719dc4aa1b9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 
62e99fadc610f0c5d2679bf9a83d2954	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 uncultured_marine
4b09413532282596672f4b4af8f10113	Bacteria	 Chloroflexi	 Dehalococcoidia	 SAR202_clade	 SAR202_clade	 SAR202_clade	 SAR202_cluster
699df2ed93ea2ec71338ef381492fb73	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Fokiniaceae	 MD3-55	 uncultured_Rickettsiales
a30697dd9e9f5f6cc44fac2a2869b6e4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Vibrio	 Vibrio_tapetis
d7348b86110af99c20176a0c0aa0697a	Bacteria	 Cyanobacteria	 Vampirivibrionia	 Obscuribacterales	 Obscuribacteraceae	 Candidatus_Obscuribacter	 uncultured_bacterium
162d17991fae22d028ff466a597a7919	Bacteria	 Chloroflexi	 JG30-KF-CM66	 JG30-KF-CM66	 JG30-KF-CM66	 JG30-KF-CM66	 marine_metagenome
263e41ea2c25dc87bd2ff5910cf30d40	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Agathobacter	 
435ed304e101e81fa1d3426675991f65	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Vibrionales	 Vibrionaceae	 Enterovibrio	 
81620e35cece8711b5434054c200e595	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae	 uncultured	 uncultured_Epsilonproteobacteria
b1423635a5a1e363e121e6a2f0a95bbb	Archaea	 Crenarchaeota	 Nitrososphaeria	 Nitrosopumilales	 Nitrosopumilaceae	 Nitrosopumilaceae	 uncultured_thaumarchaeote
6e6335093463a4cb1e5f057ba9a4f0b5	Bacteria	 Nitrospinota	 Nitrospinia	 Nitrospinales	 Nitrospinaceae	 Nitrospina	 
ad7cea3f47c9e64cbe5f5544c27fb1c5	Bacteria	 Proteobacteria	 Gammaproteobacteria	 BD7-8	 BD7-8	 BD7-8	 
4748803c2a5839a274c42444a88a5da8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 Glaciecola	 
68bddd84ea654a0ae3af80b8b0ebeb84	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
ffa4eea716328e237364b19955e1e7b7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 uncultured	 
84c2bc594c7db215652ddf9f71b2002f	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 uncultured	 unidentified
1195089ed6f4d672c586314120107c6a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 uncultured	 uncultured_marine
aab49449a2b7874e41295e27334ec85b	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bacteriovoracales	 Bacteriovoracaceae	 uncultured	 marine_metagenome
35ce3b9c72ab39d74ecb41bb9809ee5f	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_bacterium
cec6c5f70c7896b2e361bd8da1c04671	Bacteria	 Proteobacteria	 	 	 	 	 
12ca3746ad6943f88c00a6b6b33fffe9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade	 uncultured_bacterium
7bc89c4862479f0a7f67c8e5eca99d7f	Bacteria	 Spirochaetota	 Leptospirae	 Leptospirales	 Leptospiraceae	 Turneriella	 uncultured_marine
3d667bfa3b233a38ee37216c6ac7a371	Bacteria	 Nitrospinota	 Nitrospinia	 Nitrospinales	 Nitrospinaceae	 Nitrospina	 
40a88aeb3de79b49f7ec93946088a8da	Bacteria	 	 	 	 	 	 
36e0ffb740d75dc78c0da5d08d067bd8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Kordiimonadales	 uncultured	 uncultured	 uncultured_bacterium
42012fedcaa7e2337e9d54bf6c9f72c9	Bacteria	 	 	 	 	 	 
55d359c5d46b2f6906ec91c9cade10cc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 HOC36	 HOC36	 HOC36	 uncultured_marine
06f825b512d903b9230e1a55d87359ee	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 
9cdadd8a7359a3163fb31ad06be74e8c	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 
4db8a515ec8397686ec3ad58a03ffd17	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Piscirickettsiales	 Piscirickettsiaceae	 Candidatus_Endoecteinascidia	 metagenome
68e97f8c00f3cf84de842890290838fe	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Spongiibacteraceae	 Sinobacterium	 uncultured_bacterium
912f795ef3617aeb65ff9ad69b9567a8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 
3fe4a9a3d21d977409225eac0ac5f724	Bacteria	 Desulfobacterota	 Desulfuromonadia	 PB19	 PB19	 PB19	 uncultured_bacterium
6067a36b43d4d425f2b188f07fa6195c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 AT-s3-44	 AT-s3-44	 AT-s3-44	 uncultured_marine
dcdedcf206915b0a9c4d8202cb95c0b5	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 	 
804245ba078e1d50f0b81829240728be	Bacteria	 Planctomycetota	 BD7-11	 BD7-11	 BD7-11	 BD7-11	 uncultured_planctomycete
3e10ac361b2aa513cd4c238873be7942	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Microtrichales	 Microtrichaceae	 Sva0996_marine_group	 marine_metagenome
d1ff8dfff58e95bf8ff6390c987cecc4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Terasakiellaceae	 uncultured	 
94d0c3f3cdad21c973ee3f868f52d0bd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 uncultured	 uncultured	 uncultured_bacterium
922738e93d995ecad8e37ae066aa2834	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 Rhodopirellula	 
eb6c171425e59f9c92bdd1ddbcf2d020	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 DEV007	 DEV007	 
158689f8505bbb5e6baba5660f7674cb	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
77737492a97af2abfa1050ef599978bb	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 hydrothermal_vent
be349db0d5920b331138db052a3ad361	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Puniceicoccaceae	 MB11C04_marine_group	 
24055c9a3d2b339846662bc114d7f158	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Fluviicola	 uncultured_bacterium
4cbb095e89fab8c747d8f28f4e4a6ef6	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Cryomorphaceae	 Vicingus	 uncultured_Cryomorphaceae
845a375c99c401d8379dd5b35d85a5af	Bacteria	 Chloroflexi	 Dehalococcoidia	 SAR202_clade	 SAR202_clade	 SAR202_clade	 marine_metagenome
14b1b2f0215b7db3689ed4726ed258b2	Bacteria	 	 	 	 	 	 
1a0b8aa047bbba5b60c8914de4d781c9	Unassigned	 	 	 	 	 	 
e98fb9961025a31db028093ece60bc00	Bacteria	 	 	 	 	 	 
23bbd985f924307692599c33d32da0c8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 uncultured	 uncultured	 uncultured_bacterium
b18bff56026036d35ea85628311c88c9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Diplorickettsiales	 Diplorickettsiaceae	 uncultured	 uncultured_bacterium
3770abc7f233bbde7c0a771b64b7c75f	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Micrococcus	 
c9e02bad50c06e2dc5a6d47950a84d5d	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 DEV007	 DEV007	 uncultured_Verrucomicrobiaceae
2f6933e38aaa156e1cff2c27c9fc4c43	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Kordia	 
50b90dd2e150fded463510d2b271ed10	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 hydrothermal_vent
9d8fe4e3af92dcfd5a71a06e0c853867	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 SAR11_clade	 SAR11_clade	 uncultured_bacterium
c98f01664c8b5c71736c631c6fdb6c80	Bacteria	 Proteobacteria	 Gammaproteobacteria	 HOC36	 HOC36	 HOC36	 Candidatus_Thioglobus
dd9a2ed0253d2225acddd88d3c75a2a0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 	 	 	 
3c040197263714da317b698fa5779937	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 NS5_marine_group	 uncultured_Bacteroidetes
e04bdddee9f1f39183716cb8a9aea8ec	Bacteria	 Patescibacteria	 Gracilibacteria	 Candidatus_Peregrinibacteria	 Candidatus_Peregrinibacteria	 Candidatus_Peregrinibacteria	 uncultured_bacterium
6403753672a581e08fb53a52f0825006	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_bacterium
7f2c0d0a29e4e27b8204e5893bc316ad	Bacteria	 Actinobacteriota	 Actinobacteria	 Micrococcales	 Microbacteriaceae	 Leucobacter	 metagenome
156f2bba94db1f748675f434a43b1b0b	Bacteria	 	 	 	 	 	 
54034230672fbda939c42ac90d17b9ba	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Fokiniaceae	 MD3-55	 
e67affca7956d21c7afa9eace6556b13	Bacteria	 	 	 	 	 	 
a16c5e79f6fa958910e6899a0cd4b86e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 Varunaivibrio	 uncultured_marine
a4f8bf7c1b1a41ee665fd5c0fec2bc9e	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_marine
170860268b9f78215a6fc94572a546f3	Bacteria	 	 	 	 	 	 
8403a8dca999b687ba2bbe06f442d63d	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Arcobacteraceae	 Poseidonibacter	 
49cc7cee40d8286512023eb33da8f8b4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiomicrospirales	 Thioglobaceae	 SUP05_cluster	 
9466280c33335dc681dd9f51ad4fd3d3	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
35011fd60e75a53b1b6a1881749191c8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 	 	 
558a09ec9789e3593da9fff98c1b3016	Bacteria	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 NB1-j	 uncultured_bacterium
62285e9caf4ab2f7b8d532818f48b5f7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 S25-593	 S25-593	 
82f1c87171195a188ff40414b053e837	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 AEGEAN-169_marine_group	 AEGEAN-169_marine_group	 uncultured_Alphaproteobacteria
