#SampleID	project_name	sampling_cruise	year	sampling_platform	sampling_device	filtration_device	season	depth_m	depth_group	control_status	control_type	ESP_CTD_ID	matching_ID	station	latitude	longitude	collection_date	volume_filtered_ml	locus	target_subfragment	F_primer	R_primer	primers_FR	seq_platform	seq_model	seq_chemistry	run_center	run_date	Description	sample_type_2	depth	depth_cat	shallow_deep	CTD_or_ESP
CN18S_koa3G_SC59	eCruises_2018	CN18S	2018	Makai	3G_ESP	insitu_ESP	Spring	NA	NA	control	negative	NA	NA	NA	NA	NA	11-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	control	NA	0-25	shallow	control
CN18Sc09_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	200	deep	exp	NA	NA	NA	9	36.99000	-122.5200	6-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	200	195-200	deep	CTD
CN18Sc10_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	200	deep	exp	NA	NA	NA	10	36.98000	-122.5200	6-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	200	195-200	deep	CTD
CN18Sc14_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	195	deep	exp	NA	NA	NA	14	36.99000	-122.5200	7-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	195	195-200	deep	CTD
CN18Sc14_8_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	30	shallow	exp	NA	NA	NA	14	36.99000	-122.5200	7-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	30	27-50	shallow	CTD
CN18Sc15_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	195	deep	exp	NA	NA	NA	15	36.98000	-122.5300	7-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	195	195-200	deep	CTD
CN18Sc15_8_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	30	shallow	exp	NA	NA	NA	15	36.98000	-122.5300	7-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	30	27-50	shallow	CTD
CN18Sc18_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	200	deep	exp	NA	NA	NA	18	36.99000	-122.5200	8-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	200	195-200	deep	CTD
CN18Sc18_8_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	30	shallow	exp	NA	NA	NA	18	36.99000	-122.5200	8-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	30	27-50	shallow	CTD
CN18Sc27_2_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	200	deep	exp	NA	NA	NA	27	36.99000	-122.5200	8-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	200	195-200	deep	CTD
CN18Sc27_8_eDNA	eCruises_2018	CN18S	2018	Western Flyer	CTD_Flyer	peristaltic	Spring	30	shallow	exp	NA	NA	NA	27	36.99000	-122.5200	8-Jun-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	CTD	30	27-50	shallow	CTD
